study_number,original_chop_id,standardized_chop_id,block,setting,sex,sireline,days_aging,days_display,ph,ventral_color,ventral_marbling,ventral_firmness,minolta_ventral_l,minolta_ventral_a,minolta_ventral_b,chop_color,chop_marbling,chop_firmness,minolta_chop_l,minolta_chop_a,minolta_chop_b,moisture_percent,fat_percent,source_file,import_date
2004,448.0,2004B00C0448D00,0.0,. ,G,Tempo,,,5.67,4.0,1.5,2.5,43.9541661311325,5.115213837,1.987731242,5.0,2.0,3.5,39.0053,6.9171,1.8214,0.7523105494804352,0.011811477556134846,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,445.0,2004B00C0445D00,0.0,. ,G,Compart,,,5.69,4.0,3.0,3.0,44.2026716678236,5.490643811,3.230130978,5.0,4.0,3.5,40.5537,6.3823,2.1392,0.7430946619151912,0.03650776457808115,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,433.0,2004B00C0433D00,0.0,. ,G,Duroc,,,5.69,3.0,2.0,3.0,38.08008142,7.060193182,2.817086776,4.5,2.0,3.0,47.9269,7.6877,5.4654,0.7524957495008573,0.022742688952671453,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,442.0,2004B00C0442D00,0.0,. ,B,Tempo,,,5.58,3.0,1.5,3.0,46.30618952,5.896092181,3.137281418,4.5,2.5,3.0,49.7643,6.6125,2.8778,0.7497324583559792,0.0219362656263166,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,415.0,2004B00C0415D00,0.0,. ,B,Compart,,,5.9,4.0,2.5,3.0,40.38888791,5.072615841,2.568651787,4.5,4.0,3.0,45.626,6.8408,4.6331,0.7473438068386389,0.03472530114945037,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,405.0,2004B00C0405D00,0.0,. ,B,Tempo,,,5.67,3.5,2.0,3.0,46.54916877,8.27437734,6.151377748,4.0,2.0,3.5,50.7071,8.2349,5.3134,0.7601038687654293,0.016865635408330363,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,419.0,2004B00C0419D00,0.0,. ,B,Compart,,,5.62,3.5,2.0,3.0,47.49496263,8.088533474,4.542338377,4.0,2.0,3.0,49.3161,9.3909,5.6681,0.7354720472645846,0.017049547537447435,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,449.0,2004B00C0449D00,0.0,. ,G,Duroc,,,5.55,3.0,2.0,2.5,43.8713309522355,8.897764293,5.344409463,4.0,2.0,3.5,49.2049,8.0878,5.5986,0.7494747430021298,0.014050658063472107,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,424.0,2004B00C0424D00,0.0,. ,B,Duroc,,,5.52,3.5,2.5,2.5,46.94561216,9.319958492,6.337627219,4.0,2.5,3.0,53.7885,11.495,9.0969,0.7287471660553015,0.03354012042130605,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,438.0,2004B00C0438D00,0.0,. ,G,Compart,,,5.63,3.5,2.5,3.0,43.18362762,8.42100149,4.703067231,4.0,3.0,3.5,50.2052,10.6084,8.5411,0.7439630505790743,0.02254412742392974,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,443.0,2004B00C0443D00,0.0,. ,G,Compart,,,5.6,3.5,1.5,3.0,40.40688158,6.502503827,2.572347266,4.0,3.0,3.0,48.2096,6.349,4.186,0.744997153844887,0.019951033585402587,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,459.0,2004B00C0459D00,0.0,. ,G,Duroc,,,5.58,3.0,2.0,3.0,43.2086495210592,7.205944956,3.685365114,4.0,3.0,3.0,48.0958,7.94,4.7967,0.7404669664072487,0.018616507149030553,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,425.0,2004B00C0425D00,0.0,. ,B,Compart,,,5.57,4.0,3.0,3.0,46.36242983,9.459133029,6.33399108,4.0,3.5,3.5,49.3807,8.37,5.7324,0.7219504596454762,0.039234851265705445,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,422.0,2004B00C0422D00,0.0,. ,B,Tempo,,,5.57,3.0,1.5,2.5,45.92998899,7.179687392,3.940992241,3.5,1.0,3.0,49.2624,7.8664,5.0259,0.7630911582136122,0.008984609856719278,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,439.0,2004B00C0439D00,0.0,. ,G,Compart,,,5.55,3.5,2.0,2.5,42.77379078,7.057290862,3.359568565,3.5,1.0,3.0,49.7486,7.6767,5.6231,0.7433156242251429,0.01974570892164499,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,453.0,2004B00C0453D00,0.0,. ,G,Tempo,,,5.55,3.0,1.5,2.5,43.6228254155444,7.873078919,5.273184747,3.5,1.0,3.0,51.8383,7.1292,4.4043,0.7454227344044511,0.010124021866114458,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,409.0,2004B00C0409D00,0.0,. ,B,Duroc,,,5.56,3.0,2.0,2.5,46.13011785,5.937323032,3.942117908,3.5,2.0,3.5,50.7748,6.4368,4.6121,0.7398861881235951,0.020559751495879942,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,416.0,2004B00C0416D00,0.0,. ,B,Duroc,,,5.5,3.0,1.5,2.5,50.10535841,6.469878602,4.877608399,3.5,2.0,2.5,51.5762,8.557,6.3074,0.7387922321396497,0.023599563156504945,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,427.0,2004B00C0427D00,0.0,. ,B,Compart,,,5.51,3.0,1.5,2.5,44.12805852,9.464552329,5.18686371,3.5,2.0,3.5,50.825,7.1241,4.8391,0.7379354615498988,0.01590966951868495,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,437.0,2004B00C0437D00,0.0,. ,B,Duroc,,,5.54,3.0,1.5,3.0,44.81245774,5.539081162,3.80294884,3.5,2.0,3.0,48.8506,5.6279,4.2608,0.7376824916829594,0.021643840765207444,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,456.0,2004B00C0456D00,0.0,. ,G,Duroc,,,5.57,3.0,2.0,3.5,43.4571550577503,7.154034608,4.132805367,3.5,2.0,3.0,52.1142,7.1469,5.5039,0.750004174057876,0.012004669396009518,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
